Occupation ,Total Employed,Women,White,Black,Asian,Hispanic
"Archivists, curators, and museum technicians",59,61.4,80.2,6.4,7.8,1.7
Librarians,194,79.5,86.3,6.4,5.2,10.4
Library technicians,40,-,-,-,-,-
Teacher assistants,989,88.5,78,14.6,4.2,17.3
"Other education, training, and library workers",161,67.7,78.5,12.6,5.3,6
"Arts, design, entertainment, sports, and media occupations","3,246",46.9,83.9,7.3,5.3,10.2
Artists and related workers,236,51.9,89.6,3.5,4.5,10.8
Designers,908,52.8,84.2,5.1,7.6,12
Actors,40,-,-,-,-,-
Producers and directors,180,29.8,87.8,5.2,4.6,8.9
"Athletes, coaches, umpires, and related workers",345,36.4,88.2,5,3,8.5
Dancers and choreographers,21,-,-,-,-,-
"Musicians, singers, and related workers",188,37.7,75.6,17.3,4.3,6.7
"Entertainers and performers, sports and related workers, all other",67,48.1,74.1,9.2,9.9,7.5
Announcers,50,23.1,77.5,12,7.1,8.5
"News analysts, reporters and correspondents",84,55.3,73,13.4,7.9,16.4
Public relations specialists,118,60.9,87.9,8.3,2.6,5.7
Editors,174,54.1,90.9,3.8,2.9,4.1
Technical writers,76,60.2,84.6,6.7,5.6,1.2
Writers and authors,226,60.9,86.3,6.3,3.2,4.6
Miscellaneous media and communication workers,112,64.2,70.6,9.5,14.3,32.9
Broadcast and sound engineering technicians and radio operators,119,14.4,78.2,14,3.7,16.8
Photographers,214,46,84.4,9.1,3,8.7
"Television, video, and motion picture camera operators and editors",82,12.2,86.1,7.2,1.9,7.6
"Media and communication equipment workers, all other",5,-,-,-,-,-
Healthcare practitioners and technical occupations,"9,141",75,76.5,11.9,9.4,8.2
Chiropractors,51,21.1,97.4,0.1,1.7,5.1
Dentists,159,35.8,81.6,3.7,13.5,4.7
Dietitians and nutritionists,114,94.1,79.7,12.8,5.6,9
Optometrists,51,50.2,91.9,0,7.9,3.2
Pharmacists,342,57.5,68.5,8.2,21.7,4.5
Physicians and surgeons,"1,079",40,72,8.2,18.1,6.8
Physician assistants,116,70.9,86,4.7,7.9,5.1
Podiatrists,12,-,-,-,-,-
Audiologists,15,-,-,-,-,-
Occupational therapists,122,87.6,82.9,8.7,6.4,6.2
Physical therapists,258,68.2,78.2,5.3,14.7,5
Radiation therapists,10,-,-,-,-,-
Recreational therapists,7,-,-,-,-,-
Respiratory therapists,100,72.4,73.3,16.6,10,8.8
Speech-language pathologists,141,98,93,2.8,2.7,10.5
Exercise physiologists,5,-,-,-,-,-
"Therapists, all other",221,83.3,81.8,12.5,3.3,10.2
Veterinarians,89,62.5,91.2,2.1,3.7,3.6
Registered nurses,"3,159",89.9,76.7,12.3,8.7,6.9
Nurse anesthetists,35,-,-,-,-,-
Nurse midwives,7,-,-,-,-,-
Nurse practitioners,175,92.2,84.7,10.6,4,3.4
"Health diagnosing and treating practitioners, all other",39,-,-,-,-,-
Clinical laboratory technologists and technicians,376,69.3,71.2,17.1,9.4,11
Dental hygienists,168,94.9,88.6,7,2.4,11.9
Diagnostic related technologists and technicians,319,70.8,84.3,8.2,6.4,12.5
Emergency medical technicians and paramedics,223,30.6,83.9,9.7,3.1,8.4
Health practitioner support technologists and technicians,632,79.4,75.6,13.5,7.3,14.3
Licensed practical and licensed vocational nurses,630,89.5,64,28.4,5.4,12.4
Medical records and health information technicians,167,91.7,74.6,13.2,6.9,9.8
"Opticians, dispensing",48,-,-,-,-,-
Miscellaneous health technologists and technicians,160,66,66.8,18.5,10.4,10
Other healthcare practitioners and technical occupations,110,46.5,84,9,6.5,9.4
,,,,,,
Service occupations,"26,751",56.6,72.6,16.8,5.9,24
Healthcare support occupations,"3,506",87.1,65.6,25.1,5.2,18.8
"Nursing, psychiatric, and home health aides","1,936",88.6,56.4,33.9,5.6,16.7
Occupational therapy assistants and aides,27,-,-,-,-,-
Physical therapist assistants and aides,83,67.2,88,5.2,5.6,11
Massage therapists,172,82.7,83.7,4.6,6.7,12.4
Dental assistants,299,95.9,82.9,7.9,5,29.1
Medical assistants,539,91.6,76.2,15,4,27.9
Medical transcriptionists,36,-,-,-,-,-
Pharmacy aides,39,-,-,-,-,-
Veterinary assistants and laboratory animal caretakers,61,84.2,86.4,2.3,6,8.4
Phlebotomists,112,83.8,64.7,27.6,5.9,17.2
"Miscellaneous healthcare support occupations, including medical equipment preparers",200,70.5,60.3,31.4,4.1,16.1
Protective service occupations,"3,113",22.3,72.6,20.5,2.9,12.8
First-line supervisors of correctional officers,52,29.9,77.7,13.1,3.8,10.1
First-line supervisors of police and detectives,95,12.5,81.1,14.1,0.9,7.1
First-line supervisors of fire fighting and prevention workers,44,-,-,-,-,-
"First-line supervisors of protective service workers, all other",72,22,74.7,15,5.4,10
Firefighters,283,3.5,88.5,7.5,1,7.7
Fire inspectors,27,-,-,-,-,-
"Bailiffs, correctional officers, and jailers",408,28.5,67.4,29,1.8,13.5
Detectives and criminal investigators,136,23.2,87.1,11.6,0.9,14.1
Fish and game wardens,4,-,-,-,-,-
Parking enforcement workers,6,-,-,-,-,-
Police and sheriff's patrol officers,704,13.6,79.8,13.9,2.4,10.9
Transit and railroad police,7,-,-,-,-,-
Animal control workers,15,-,-,-,-,-
Private detectives and investigators,94,48.8,79,13.8,4.6,11.3
Security guards and gaming surveillance officers,920,24.3,57.5,32.3,4.4,17
Crossing guards,63,52.2,69.4,21.5,4.7,20.9
Transportation security screeners,46,-,-,-,-,-
"Lifeguards and other recreational, and all other protective service workers",136,49.6,88.5,4.1,2.5,9.4
Food preparation and serving related occupations,"8,305",53.8,74.4,13.9,6.2,25.5
Chefs and head cooks,465,19.7,65,16.4,13.9,21
First-line supervisors of food preparation and serving workers,519,54.8,74.8,17,3.7,18.9
Cooks,"2,079",39.3,73.2,16.8,5.1,35.4
Food preparation workers,"1,068",58.9,72.2,14.5,6.5,27.4
Bartenders,417,57.3,85.5,7.2,2.8,14.1
"Combined food preparation and serving workers, including fast food",372,60,70,17.3,4.4,22.8
"Counter attendants, cafeteria, food concession, and coffee shop",225,62.1,72,16.9,5,21.3
Waiters and waitresses,"2,016",69.9,78.2,9.2,7.6,20.9
"Food servers, nonrestaurant",207,69.9,69.9,18.5,7,21.8
Dining room and cafeteria attendants and bartender helpers,334,45.9,76.4,9.9,7.8,27.9
Dishwashers,274,19.5,70.9,19.9,2.9,31.2
"Hosts and hostesses, restaurant, lounge, and coffee shop",324,85.9,74.8,12.9,3.3,17.1
"Food preparation and serving related workers, all other",4,-,-,-,-,-
Building and grounds cleaning and maintenance occupations,"5,888",40.7,77.4,14.9,3.3,38
First-line supervisors of housekeeping and janitorial workers,326,41.1,79.9,12,4.6,28.5
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",255,8,91.6,5.4,1.2,21.5
Janitors and building cleaners,"2,307",35.2,72.5,18.6,3.8,31.7
Maids and housekeeping cleaners,"1,527",88,74.3,17.9,3.9,49.4
Pest control workers,108,6.5,82,11.4,1.4,13.3
Grounds maintenance workers,"1,365",5.9,85.6,7.9,2,43.1
Personal care and service occupations,"5,939",76.1,69.5,16.1,10.2,17.1
First-line supervisors of gaming workers,208,44.3,82.4,7.7,4.7,6.8
First-line supervisors of personal service workers,232,66.2,63.8,15.4,18.8,11.1
Animal trainers,49,-,-,-,-,-
Nonfarm animal caretakers,263,78.4,90.8,2.8,1.6,13.6
Gaming services workers,90,46.7,45.1,8.9,34,10.2
Motion picture projectionists,1,-,-,-,-,-
"Ushers, lobby attendants, and ticket takers",37,-,-,-,-,-
Miscellaneous entertainment attendants and related workers,224,42.9,75.9,16.1,1.8,18.6
Embalmers and funeral attendants,17,-,-,-,-,-
"Morticians, undertakers, and funeral directors",42,-,-,-,-,-
Barbers,135,15.6,50.7,38.1,5.1,24.1
"Hairdressers, hairstylists, and cosmetologists",806,92.6,76.7,13.5,5.6,16.3
Miscellaneous personal appearance workers,397,81.8,27.2,8.3,62.3,9.1
"Baggage porters, bellhops, and concierges",89,31.1,60.1,24.9,8.3,27.5
Tour and travel guides,68,46.4,81.2,4.5,5.3,8.8
Childcare workers,"1,225",93.7,77.3,15.4,4.3,22.3
Personal care aides,"1,365",83.7,62,24.8,9.1,20.7
Recreation and fitness workers,480,62.3,80.1,11.4,3.5,9.6
Residential advisors,44,-,-,-,-,-
"Personal care and service workers, all other",167,60.1,74.6,14.6,4.9,17.8
,,,,,,
Sales and office occupations,"33,566",61.3,78.5,13,5,15.9
Sales and related occupations,"15,815",49.1,79.9,11.1,5.6,15.9
First-line supervisors of retail sales workers,"3,272",43.4,81.6,9.4,6.2,15
First-line supervisors of non-retail sales workers,"1,220",30,84.6,6.8,5.4,13.3
Cashiers,"3,253",72.7,70.2,17.9,6.4,22.3
Counter and rental clerks,109,48.9,78.4,12.7,7,18.6
Parts salespersons,130,7.2,88.8,4.5,2.5,21.9
Retail salespersons,"3,235",48.2,77.6,12.8,5.7,17.2
Advertising sales agents,241,50.4,80.7,14.8,3.9,10.6
Insurance sales agents,624,51.8,81.3,10,5.9,11.9
"Securities, commodities, and financial services sales agents",262,34,85.8,6,5.1,10.3
Travel agents,89,82.7,81.9,11.2,6.4,13
"Sales representatives, services, all other",525,27.1,88.5,6.4,3.2,12.9
"Sales representatives, wholesale and manufacturing","1,264",28,89.9,4.6,3.7,10.1
"Models, demonstrators, and product promoters",61,78.4,82.4,6,8.7,12.8
Real estate brokers and sales agents,997,57.1,85.7,7.2,4.8,11.5
Sales engineers,35,-,-,-,-,-
Telemarketers,58,69.4,61.3,24.7,7,25.8
"Door-to-door sales workers, news and street vendors, and related workers",166,58.4,82.9,11,5.4,22
"Sales and related workers, all other",276,50.3,84.2,9.5,4.9,8.1
Office and administrative support occupations,"17,751",72.2,77.3,14.6,4.5,15.9
First-line supervisors of office and administrative support workers,"1,425",70.1,80.3,13.4,4,11.6
"Switchboard operators, including answering service",23,-,-,-,-,-
Telephone operators,47,-,-,-,-,-
"Communications equipment operators, all other",9,-,-,-,-,-
Bill and account collectors,139,71.3,70.7,22.9,3.1,18.9
Billing and posting clerks,473,85.9,79.4,13.6,3.8,13.1
"Bookkeeping, accounting, and auditing clerks","1,089",88.7,87.4,6.9,3.7,11.3
Gaming cage workers,14,-,-,-,-,-
Payroll and timekeeping clerks,129,89.5,75.6,14.3,4.2,17.7
Procurement clerks,30,-,-,-,-,-
Tellers,306,85.2,79.9,12.6,5,16.4
"Financial clerks, all other",82,60.8,78.3,16,3.9,17.8
Brokerage clerks,7,-,-,-,-,-
Correspondence clerks,7,-,-,-,-,-
"Court, municipal, and license clerks",90,75.2,75.8,15.6,2,16.6
"Credit authorizers, checkers, and clerks",55,63.8,90.5,3.2,5.7,17.3
Customer service representatives,"2,494",65.1,73.2,17.2,5.4,17.4
"Eligibility interviewers, government programs",62,76.7,58.8,26.8,10,21.9
File clerks,182,81.4,77.2,13.6,6.9,17.8
"Hotel, motel, and resort desk clerks",125,60.9,64.8,21.5,7.8,15.7
"Interviewers, except eligibility and loan",142,85,71.9,18,2.8,21.2
"Library assistants, clerical",96,80.1,81.3,8.6,5.1,10.4
Loan interviewers and clerks,120,80.4,77.6,15.3,5.1,14.6
New accounts clerks,32,-,-,-,-,-
Order clerks,107,54.9,66.2,18.8,8,14.4
"Human resources assistants, except payroll and timekeeping",45,-,-,-,-,-
Receptionists and information clerks,"1,267",91,79.9,12.8,3.5,19.7
Reservation and transportation ticket agents and travel clerks,127,58,60.8,25.3,5.9,15.1
"Information and record clerks, all other",110,78.1,75.5,10.1,5.2,15
Cargo and freight agents,16,-,-,-,-,-
Couriers and messengers,239,19.4,67.3,25.5,5.5,18.1
Dispatchers,292,57.4,81.7,11.6,2,16.9
"Meter readers, utilities",18,-,-,-,-,-
Postal service clerks,111,55.3,70.8,22.4,4.8,15.9
Postal service mail carriers,306,40.8,67.4,22.2,5.6,14.4
"Postal service mail sorters, processors, and processing machine operators",50,56.7,51,38.4,7.9,3.8
"Production, planning, and expediting clerks",270,53.9,81.6,7.8,6.7,9.7
"Shipping, receiving, and traffic clerks",623,31.3,72.2,20.4,3.7,27
Stock clerks and order fillers,"1,525",37.9,74,18.4,4.2,20.6
"Weighers, measurers, checkers, and samplers, recordkeeping",52,46.8,85.9,7.4,3.5,29
Secretaries and administrative assistants,"2,769",95,83.7,9.3,3.6,12.4
Computer operators,73,60.2,74.8,14,6.3,7.4
Data entry keyers,267,79.6,72.4,16.5,8.5,15.2
Word processors and typists,94,89.8,69.7,21.1,6.8,13.9
Desktop publishers,2,-,-,-,-,-
Insurance claims and policy processing clerks,237,84.3,70.8,20.3,4.2,14.9
"Mail clerks and mail machine operators, except postal service",61,36.8,67.4,24.4,3,11.9
"Office clerks, general","1,271",83.1,75.1,14.8,6.3,18.4
"Office machine operators, except computer",33,-,-,-,-,-
Proofreaders and copy markers,10,-,-,-,-,-
Statistical assistants,21,-,-,-,-,-
"Office and administrative support workers, all other",576,75.2,77.6,15.1,3.7,12.5
,,,,,,
"Natural resources, construction, and maintenance occupations","14,193",5.1,86.9,7.3,2.2,30.7
"Farming, fishing, and forestry occupations","1,184",23.4,89.3,4.9,1.7,44.3
"First-line supervisors of farming, fishing, and forestry workers",62,8.7,87.2,6.6,4.4,27.1
Agricultural inspectors,18,-,-,-,-,-
Animal breeders,2,-,-,-,-,-
"Graders and sorters, agricultural products",110,67.1,80.4,12.4,4.2,48.8
Miscellaneous agricultural workers,854,21.5,91.7,3.3,1.3,51.1
Fishers and related fishing workers,44,-,-,-,-,-
Hunters and trappers,1,-,-,-,-,-
Forest and conservation workers,27,-,-,-,-,-
Logging workers,66,2,82.9,10.3,0,9.1
Construction and extraction occupations,"8,031",3,87.8,6.9,1.6,36
First-line supervisors of construction trades and extraction workers,639,3,89.8,5.4,1.2,24.5
Boilermakers,15,-,-,-,-,-
"Brickmasons, blockmasons, and stonemasons",166,0.7,84.6,7.1,1.2,45.1
Carpenters,"1,351",2.2,89.3,5.3,1.7,35.4
"Carpet, floor, and tile installers and finishers",183,2.4,87.2,6.9,1.3,47.4
"Cement masons, concrete finishers, and terrazzo workers",54,1,90.4,8.5,0,46.7
Construction laborers,"1,946",3.3,85.9,8.6,1.7,46.9
"Paving, surfacing, and tamping equipment operators",15,-,-,-,-,-
Pile-driver operators,2,-,-,-,-,-
Operating engineers and other construction equipment operators,358,1.5,90.4,5.2,0.8,19.3
"Drywall installers, ceiling tile installers, and tapers",156,2.7,91.7,3.8,0.6,63.9
Electricians,857,2.5,87.9,6.7,2.5,19.1
Glaziers,44,-,-,-,-,-
Insulation workers,58,3.1,82.1,9.6,0,42.6
"Painters, construction and maintenance",540,6.6,89.7,5.9,1.5,53.4
Paperhangers,4,-,-,-,-,-
"Pipelayers, plumbers, pipefitters, and steamfitters",600,2.2,86.6,9,1.5,27.1
Plasterers and stucco masons,27,-,-,-,-,-
Reinforcing iron and rebar workers,12,-,-,-,-,-
Roofers,220,0.6,86.6,6.9,2.5,56.1
Sheet metal workers,137,2.6,91.4,4.3,1.6,18.7
Structural iron and steel workers,43,-,-,-,-,-
Solar photovoltaic installers,11,-,-,-,-,-
"Helpers, construction trades",69,9.4,88.2,3.8,2.1,38.3
Construction and building inspectors,89,10.2,85.5,9.8,2.2,11.2
Elevator installers and repairers,40,-,-,-,-,-
Fence erectors,34,-,-,-,-,-
Hazardous materials removal workers,30,-,-,-,-,-
Highway maintenance workers,101,2.7,79.4,13.7,0.1,15.5
Rail-track laying and maintenance equipment operators,17,-,-,-,-,-
Septic tank servicers and sewer pipe cleaners,10,-,-,-,-,-
Miscellaneous construction and related workers,24,-,-,-,-,-
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",30,-,-,-,-,-
"Earth drillers, except oil and gas",23,-,-,-,-,-
"Explosives workers, ordnance handling experts, and blasters",10,-,-,-,-,-
Mining machine operators,51,1.1,85.8,7.8,2.7,23.9
"Roof bolters, mining",2,-,-,-,-,-
"Roustabouts, oil and gas",4,-,-,-,-,-
Helpers--extraction workers,4,-,-,-,-,-
Other extraction workers,54,2.9,93.1,2,0,35.7
"Installation, maintenance, and repair occupations","4,977",4,85,8.6,3.3,19
"First-line supervisors of mechanics, installers, and repairers",253,8.4,84,9.4,4.1,12.8
"Computer, automated teller, and office machine repairers",212,11.3,73.8,12.7,10.2,17.1
Radio and telecommunications equipment installers and repairers,134,8.1,85.3,7.3,6.1,19.7
Avionics technicians,9,-,-,-,-,-
"Electric motor, power tool, and related repairers",28,-,-,-,-,-
"Electrical and electronics installers and repairers, transportation equipment",1,-,-,-,-,-
"Electrical and electronics repairers, industrial and utility",12,-,-,-,-,-
"Electronic equipment installers and repairers, motor vehicles",11,-,-,-,-,-
Electronic home entertainment equipment installers and repairers,50,2.8,81.9,14.2,3.7,26.5
Security and fire alarm systems installers,77,2.6,78.4,11,5.8,24.1
Aircraft mechanics and service technicians,150,5.2,83,5.6,7.8,13.9
Automotive body and related repairers,140,1.1,86,6.1,2.9,31.6
Automotive glass installers and repairers,22,-,-,-,-,-
Automotive service technicians and mechanics,902,2.4,84.1,8.7,3.8,23.2
Bus and truck mechanics and diesel engine specialists,401,1.8,85.6,9.4,1.3,18.1
Heavy vehicle and mobile equipment service technicians and mechanics,201,2.6,91.8,4.5,1.4,11.5
Small engine mechanics,44,-,-,-,-,-
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",83,1.8,85.6,7.5,4.4,32.2
Control and valve installers and repairers,26,-,-,-,-,-
"Heating, air conditioning, and refrigeration mechanics and installers",448,2,90.6,5.4,2.4,17.9
Home appliance repairers,41,-,-,-,-,-
Industrial and refractory machinery mechanics,424,3.9,85.8,7.8,3.4,16.5
"Maintenance and repair workers, general",528,4.5,85.9,8.9,2.1,19.7
"Maintenance workers, machinery",27,-,-,-,-,-
Millwrights,40,-,-,-,-,-
Electrical power-line installers and repairers,129,0.6,89.8,7.8,0,11.6
Telecommunications line installers and repairers,189,2.7,78.3,18.4,1.7,19.1
Precision instrument and equipment repairers,63,14.6,80.9,14.7,1.4,10.9
Wind turbine service technicians,5,-,-,-,-,-
"Coin, vending, and amusement machine servicers and repairers",34,-,-,-,-,-
Commercial divers,0,-,-,-,-,-
Locksmiths and safe repairers,35,-,-,-,-,-
Manufactured building and mobile home installers,4,-,-,-,-,-
Riggers,14,-,-,-,-,-
Signal and track switch repairers,9,-,-,-,-,-
"Helpers--installation, maintenance, and repair workers",18,-,-,-,-,-
"Other installation, maintenance, and repair workers",215,5.9,86.7,6.4,2.3,23.5
,,,,,,
"Production, transportation, and material moving occupations","17,927",22.8,74.2,16.6,5.3,22.2
Production occupations,"8,482",28.9,76.8,13.3,6.2,22.8
First-line supervisors of production and operating workers,768,19.1,82.2,10.4,3.7,16.7
"Aircraft structure, surfaces, rigging, and systems assemblers",1,-,-,-,-,-
"Electrical, electronics, and electromechanical assemblers",128,42.1,63.5,15.3,17.2,18.2
Engine and other machine assemblers,13,-,-,-,-,-
Structural metal fabricators and fitters,30,-,-,-,-,-
Miscellaneous assemblers and fabricators,"1,033",37.7,68,20.8,8,18.9
Bakers,215,60.1,71.3,15.6,8.5,31.5
